ProjectName,RelativePath,ProductArea,OutputType,TargetFramework,DependsOnCount,UsedByCount_WithinRepo,PackageReferenceCount
CustomSecurity,MedStreaming.IdentityServer\MedStreaming.SSRSSecurityExtention\CustomSecurity.csproj,MedStreaming.IdentityServer,Library,v4.0,0,0,0
MedStreaming.Certificate,MedStreaming.IdentityServer\MedStreaming.Certificate\MedStreaming.Certificate.csproj,MedStreaming.IdentityServer,(unknown),net10.0,0,1,4
MedStreaming.IdentityServer.XUnitTest,MedStreaming.IdentityServer\MedStreaming.IdentityServer.XUnitTest\MedStreaming.IdentityServer.XUnitTest.csproj,MedStreaming.IdentityServer,(unknown),netcoreapp2.0,1,0,4
MedStreaming.Inventory,MedStreaming.Inventory\MedStreaming.Inventory\MedStreaming.Inventory.csproj,MedStreaming.Inventory,WinExe,v4.8,3,0,0
MedStreaming.Inventory.DataAccess,MedStreaming.Inventory\MedStreaming.Inventory.DataAccess\MedStreaming.Inventory.DataAccess.csproj,MedStreaming.Inventory,Library,v4.8,1,1,0
MedStreaming.Inventory.DataModel,MedStreaming.Inventory\MedStreaming.Inventory.Model\MedStreaming.Inventory.DataModel.csproj,MedStreaming.Inventory,Library,v4.8,0,2,0
MedStreaming.Inventory.View,MedStreaming.Inventory\MedStreaming.Inventory.View\MedStreaming.Inventory.View.csproj,MedStreaming.Inventory,library,v4.8,0,1,0
MedStreaming.JobParser,MedStreaming.JobParser\MedStreaming.JobParser.csproj,MedStreaming.JobParser,Exe,v4.8,6,0,0
LookupUnitTest,MedStreaming.LookupUnitTest\LookupUnitTest\LookupUnitTest.csproj,MedStreaming.LookupUnitTest,Library,v4.8,0,0,0
MedStreaming.Mining.Test,MedStreaming.Mining\MedStreaming.Mining.Test\MedStreaming.Mining.Test.csproj,MedStreaming.Mining,WinExe,v4.8,1,0,0
MedStreaming.NotificationManager..Test,MedStreaming.NotificationManager\MedStreaming.NotificationManager..Test\MedStreaming.NotificationManager..Test.csproj,MedStreaming.NotificationManager,Library,v4.5,0,0,0
MedStreaming.NotificationManager.BL,MedStreaming.NotificationManager\MedStreaming.NotificationManager.BL\MedStreaming.NotificationManager.BL.csproj,MedStreaming.NotificationManager,Library,v4.5,2,2,0
MedStreaming.NotificationManager.DataAccess,MedStreaming.NotificationManager\MedStreaming.NotificationManager.DataAccess\MedStreaming.NotificationManager.DataAccess.csproj,MedStreaming.NotificationManager,Library,v4.5,1,2,0
MedStreaming.NotificationManager.Host,MedStreaming.NotificationManager\MedStreaming.NotificationManager.Host\MedStreaming.NotificationManager.Host.csproj,MedStreaming.NotificationManager,Exe,v4.5,2,0,0
MedStreaming.NotificationManager.Interface,MedStreaming.NotificationManager\MedStreaming.NotificationManager.Interface\MedStreaming.NotificationManager.Interface.csproj,MedStreaming.NotificationManager,Library,v4.5,0,3,0
MedStreaming.NotificationManager.Model,MedStreaming.NotificationManager\MedStreaming.NotificationManager.Model\MedStreaming.NotificationManager.Model.csproj,MedStreaming.NotificationManager,Library,v4.5,0,4,0
